name,category,price
RTX 4090,GPU,1450000
RTX 4080 SUPER,GPU,900000
RTX 4070 Ti SUPER,GPU,700000
RTX 4070 SUPER,GPU,560000
RTX 4070,GPU,470000
RTX 4060 Ti,GPU,330000
RTX 4060,GPU,280000
RTX 3080,GPU,400000
RTX 3070,GPU,280000
RTX 3060 Ti,GPU,230000
RTX 3060,GPU,190000
RX 7800 XT,GPU,470000
RX 6750 XT,GPU,290000
RX 6600,GPU,170000
i9-14900K,CPU,420000
i7-14700K,CPU,350000
i5-14600K,CPU,270000
i5-13600K,CPU,220000
i5-13400F,CPU,145000
i5-12400F,CPU,100000
Ryzen 7 7800X3D,CPU,420000
Ryzen 7 5800X3D,CPU,250000
Ryzen 5 7600,CPU,180000
Ryzen 5 7500F,CPU,170000
Ryzen 5 5600X,CPU,100000
Ryzen 5 5600,CPU,90000
Samsung DDR5 16GB,RAM,48000
Samsung DDR4 16GB,RAM,35000
Samsung DDR4 8GB,RAM,16000
Samsung 990 PRO 2TB,SSD,210000
Samsung 980 PRO 1TB,SSD,105000
Samsung 970 EVO Plus 1TB,SSD,85000
WD SN850X 1TB,SSD,100000
Corsair RM750e,PSU,85000
Seasonic Focus GX-750,PSU,95000
